run_id,timestamp,model,best_params,cv_rmse,test_rmse,test_r2,n_features,is_top3,notes
20260310_231542,2026-03-10 23:15:42,elasticnet,"{""model__l1_ratio"": 0.2, ""model__alpha"": 0.01}",1.5607,1.8879,0.9118,25,True,
20260310_231542,2026-03-10 23:15:42,lasso,"{""model__alpha"": 0.01}",1.5485,1.8935,0.9113,25,True,
20260310_231542,2026-03-10 23:15:42,catboost,"{""model__learning_rate"": 0.2, ""model__iterations"": 800, ""model__depth"": 4}",1.4776,1.9025,0.9104,25,True,
20260310_231542,2026-03-10 23:15:42,xgboost,"{""model__n_estimators"": 500, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",1.5323,1.9262,0.9082,25,False,
20260310_231542,2026-03-10 23:15:42,lightgbm,"{""model__n_estimators"": 500, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",1.5493,1.9684,0.9041,25,False,
20260310_231542,2026-03-10 23:15:42,random_forest,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 5, ""model__max_depth"": 10}",1.8492,2.0438,0.8966,25,False,
20260310_235435,2026-03-10 23:54:35,elasticnet,"{""model__l1_ratio"": 0.2, ""model__alpha"": 0.01}",1.5607,1.8879,0.9118,25,True,
20260310_235435,2026-03-10 23:54:35,lasso,"{""model__alpha"": 0.01}",1.5485,1.8935,0.9113,25,True,
20260310_235435,2026-03-10 23:54:35,catboost,"{""model__learning_rate"": 0.05, ""model__depth"": 6}",1.453,1.931,0.9077,25,True,
20260310_235435,2026-03-10 23:54:35,xgboost,"{""model__n_estimators"": 1500, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",1.5033,2.0203,0.899,25,False,
20260310_235435,2026-03-10 23:54:35,random_forest,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 5, ""model__max_depth"": 10}",1.8492,2.0438,0.8966,25,False,
20260310_235435,2026-03-10 23:54:35,lightgbm,"{""model__n_estimators"": 1500, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",1.5046,2.2003,0.8802,25,False,
20260311_004518,2026-03-11 00:45:18,elasticnet,"{""model__l1_ratio"": 0.8, ""model__alpha"": 0.01}",1.9883,1.8873,0.9118,25,True,
20260311_004518,2026-03-11 00:45:18,lasso,"{""model__alpha"": 0.01}",1.9813,1.8935,0.9113,25,True,
20260311_004518,2026-03-11 00:45:18,catboost,"{""model__learning_rate"": 0.1, ""model__depth"": 4}",2.1162,1.9761,0.9033,25,True,
20260311_004518,2026-03-11 00:45:18,xgboost,"{""model__n_estimators"": 1500, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",2.3871,2.0203,0.899,25,False,
20260311_004518,2026-03-11 00:45:18,random_forest,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 5, ""model__max_depth"": 10}",2.8583,2.0438,0.8966,25,False,
20260311_004518,2026-03-11 00:45:18,lightgbm,"{""model__n_estimators"": 1500, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",2.3522,2.2003,0.8802,25,False,
20260311_011610,2026-03-11 01:16:10,elasticnet,"{""model__l1_ratio"": 0.8, ""model__alpha"": 0.01}",1.9883,1.8873,0.9118,25,True,
20260311_011610,2026-03-11 01:16:10,lasso,"{""model__alpha"": 0.01}",1.9813,1.8935,0.9113,25,True,
20260311_011610,2026-03-11 01:16:10,catboost,"{""model__learning_rate"": 0.1, ""model__depth"": 4}",2.1162,1.9761,0.9033,25,True,
20260311_011610,2026-03-11 01:16:10,xgboost,"{""model__n_estimators"": 1000, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",2.3963,1.9799,0.903,25,False,
20260311_011610,2026-03-11 01:16:10,random_forest,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 5, ""model__max_depth"": 10}",2.8583,2.0438,0.8966,25,False,
20260311_011610,2026-03-11 01:16:10,lightgbm,"{""model__n_estimators"": 1000, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",2.3716,2.0592,0.895,25,False,
20260311_072118,2026-03-11 07:21:18,elasticnet,"{""model__l1_ratio"": 0.8, ""model__alpha"": 0.01}",1.9883,1.8873,0.9118,25,True,
20260311_072118,2026-03-11 07:21:18,lasso,"{""model__alpha"": 0.01}",1.9813,1.8935,0.9113,25,True,
20260311_072118,2026-03-11 07:21:18,lightgbm,"{""model__num_leaves"": 15, ""model__n_estimators"": 800, ""model__learning_rate"": 0.1}",2.3434,1.9757,0.9034,25,True,
20260311_072118,2026-03-11 07:21:18,catboost,"{""model__learning_rate"": 0.1, ""model__depth"": 4}",2.1162,1.9761,0.9033,25,False,
20260311_072118,2026-03-11 07:21:18,xgboost,"{""model__n_estimators"": 1000, ""model__max_depth"": 4, ""model__learning_rate"": 0.1}",2.3963,1.9799,0.903,25,False,
20260311_072118,2026-03-11 07:21:18,random_forest,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 5, ""model__max_depth"": 10}",2.8583,2.0438,0.8966,25,False,
